Posting Date,Description,Amount,Details,Type
07/01/2026,WHOLE FOODS #102,-84.32,GROCERY,Sale
07/02/2026,DIRECT DEP ACME CORP,3200.00,PAYROLL,Credit
07/03/2026,STARBUCKS STORE 123,-5.75,COFFEE,Sale
07/05/2026,NETFLIX.COM,-15.99,SUBSCRIPTION,Sale
07/08/2026,SHELL OIL 7748291,-52.10,GAS,Sale
07/10/2026,CHIPOTLE 2291,-14.28,DINING,Sale
07/12/2026,PG&E ONLINE PMT,-128.40,UTILITIES,Sale
07/15/2026,AMAZON.COM*AB12,-46.99,SHOPPING,Sale
07/18/2026,UBER TRIP,-18.50,TRANSPORT,Sale
07/20/2026,TRADER JOE'S #501,-67.22,GROCERY,Sale
07/22/2026,SPOTIFY USA,-11.99,SUBSCRIPTION,Sale
07/25/2026,PAYMENT THANK YOU,-500.00,CREDIT CARD,Payment
07/28/2026,COSTCO WHSE #0123,-156.78,GROCERY,Sale
07/30/2026,DOORDASH*DASHPASS,-12.99,DINING,Sale
