Transaction Date,Post Date,Description,Category,Type,Amount,Memo
07/01/2026,07/02/2026,WHOLE FOODS #102,Groceries,Sale,84.32,
07/03/2026,07/03/2026,STARBUCKS STORE 123,Food & Drink,Sale,5.75,
07/05/2026,07/05/2026,NETFLIX.COM,Bills & Utilities,Sale,15.99,
07/08/2026,07/09/2026,SHELL OIL 7748291,Gas,Sale,52.10,
07/10/2026,07/10/2026,CHIPOTLE 2291,Food & Drink,Sale,14.28,
07/15/2026,07/15/2026,AMAZON.COM*AB12,Shopping,Sale,46.99,
07/18/2026,07/18/2026,UBER TRIP,Travel,Sale,18.50,
07/22/2026,07/22/2026,SPOTIFY USA,Bills & Utilities,Sale,11.99,
07/25/2026,07/25/2026,Payment Thank You - Web,Payment,Payment,-500.00,
07/28/2026,07/28/2026,COSTCO WHSE #0123,Shopping,Sale,156.78,
